region,party,count
Baden-Württemberg,Union,1767316
Baden-Württemberg,SPD,1247455
Baden-Württemberg,Grüne,1058334
Baden-Württemberg,FDP,711697
Baden-Württemberg,AfD,561058
Baden-Württemberg,Linke,175691
Bayern,Union,2788048
Bayern,SPD,1316303
Bayern,Grüne,1023735
Bayern,FDP,579804
Bayern,AfD,634098
Bayern,Linke,187530
Berlin,Union,344838
Berlin,SPD,417163
Berlin,Grüne,380581
Berlin,FDP,129678
Berlin,AfD,147134
Berlin,Linke,260242
Brandenburg,Union,283668
Brandenburg,SPD,437753
Brandenburg,Grüne,120005
Brandenburg,FDP,121094
Brandenburg,AfD,279978
Brandenburg,Linke,142628
Bremen,Union,67992
Bremen,SPD,108432
Bremen,Grüne,60490
Bremen,FDP,22398
Bremen,AfD,21565
Bremen,Linke,25923
Hamburg,Union,179572
Hamburg,SPD,334831
Hamburg,Grüne,237328
Hamburg,FDP,84603
Hamburg,AfD,49828
Hamburg,Linke,72507
Hessen,Union,909147
Hessen,SPD,1000129
Hessen,Grüne,480535
Hessen,FDP,315712
Hessen,AfD,285337
Hessen,Linke,130457
Mecklenburg-Vorpommern,Union,180669
Mecklenburg-Vorpommern,SPD,261408
Mecklenburg-Vorpommern,Grüne,62664
Mecklenburg-Vorpommern,FDP,66328
Mecklenburg-Vorpommern,AfD,169977
Mecklenburg-Vorpommern,Linke,116033
Niedersachsen,Union,1323070
Niedersachsen,SPD,1603785
Niedersachsen,Grüne,646848
Niedersachsen,FDP,347802
Niedersachsen,AfD,292032
Niedersachsen,Linke,142785
Nordrhein-Westfalen,Union,2973458
Nordrhein-Westfalen,SPD,3068628
Nordrhein-Westfalen,Grüne,1500696
Nordrhein-Westfalen,FDP,851337
Nordrhein-Westfalen,AfD,705020
Nordrhein-Westfalen,Linke,317869
Rheinland-Pfalz,Union,686825
Rheinland-Pfalz,SPD,697183
Rheinland-Pfalz,Grüne,247246
Rheinland-Pfalz,FDP,193360
Rheinland-Pfalz,AfD,205790
Rheinland-Pfalz,Linke,84143
Saarland,Union,159323
Saarland,SPD,208329
Saarland,Grüne,31091
Saarland,FDP,46793
Saarland,AfD,56236
Saarland,Linke,30211
Sachsen,Union,546282
Sachsen,SPD,410769
Sachsen,Grüne,171384
Sachsen,FDP,220062
Sachsen,AfD,632881
Sachsen,Linke,282800
Sachsen-Anhalt,Union,299363
Sachsen-Anhalt,SPD,293197
Sachsen-Anhalt,Grüne,64326
Sachsen-Anhalt,FDP,96084
Sachsen-Anhalt,AfD,242065
Sachsen-Anhalt,Linke,127576
Schleswig-Holstein,Union,465975
Schleswig-Holstein,SPD,530301
Schleswig-Holstein,Grüne,315633
Schleswig-Holstein,FDP,167191
Schleswig-Holstein,AfD,113641
Schleswig-Holstein,Linke,55523
Thüringen,Union,264026
Thüringen,SPD,299024
Thüringen,Grüne,68185
Thüringen,FDP,89008
Thüringen,AfD,298971
Thüringen,Linke,155618
